Region,Event,Player,Team Abbreviated,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,CW,CP,KMax,K,D,A,FK,FD
Americas,Champions Tour 2024: Americas Stage 2,Shyy,KRÜ,KRÜ Esports,492,1,202.1,1.06,0.69,142.1,0.74,0.23,0.06,0.08,0.29,0.18,12/65,12,65,27,362,342,113,28,41
Americas,Champions Tour 2024: Americas Stage 2,Melser,KRÜ,KRÜ Esports,492,0.99,185.3,0.97,0.74,121.5,0.66,0.35,0.08,0.1,0.33,0.18,14/77,14,77,23,323,334,174,40,50
Americas,Champions Tour 2024: Americas Stage 2,heat,KRÜ,KRÜ Esports,492,0.99,185.7,0.97,0.73,122.4,0.69,0.37,0.07,0.1,0.3,0.12,8/68,8,68,26,341,350,182,36,50
Americas,Champions Tour 2024: Americas Stage 2,Less,LOUD,LOUD,299,0.99,191.1,1.03,0.65,130,0.71,0.21,0.09,0.07,0.3,0.05,2/44,2,44,21,211,205,64,28,22
Americas,Champions Tour 2024: Americas Stage 2,artzin,MIBR,MIBR,225,0.99,212.7,1.05,0.67,141.7,0.76,0.25,0.12,0.09,0.27,0.13,3/23,3,23,24,171,163,56,27,20
Americas,Champions Tour 2024: Americas Stage 2,johnqt,SEN,Sentinels,217,0.98,172.4,0.96,0.71,113.5,0.62,0.2,0.05,0.06,0.29,0.11,3/27,3,27,19,134,140,44,11,14
Americas,Champions Tour 2024: Americas Stage 2,rich,MIBR,MIBR,183,0.97,192.3,0.91,0.72,130.3,0.68,0.25,0.08,0.07,0.31,0.12,3/26,3,26,22,124,137,45,14,13
Americas,Champions Tour 2024: Americas Stage 2,havoc,FUR,FURIA,241,0.97,198.3,0.96,0.65,138.8,0.7,0.19,0.12,0.14,0.36,0.16,5/32,5,32,23,168,175,45,28,33
Americas,Champions Tour 2024: Americas Stage 2,mwzera,FUR,FURIA,241,0.97,236.4,0.99,0.74,152.8,0.82,0.23,0.18,0.15,0.18,0.07,1/15,1,15,29,197,198,56,44,36
Americas,Champions Tour 2024: Americas Stage 2,Sacy,SEN,Sentinels,217,0.96,170.4,0.93,0.74,119.9,0.59,0.34,0.06,0.12,0.29,0.05,1/21,1,21,19,127,136,74,12,27
Americas,Champions Tour 2024: Americas Stage 2,mazin,MIBR,MIBR,225,0.95,168.5,0.86,0.65,110.3,0.58,0.3,0.07,0.04,0.31,0.19,9/47,9,47,20,130,152,67,16,9
Americas,Champions Tour 2024: Americas Stage 2,crashies,NRG,NRG Esports,215,0.94,171.4,0.92,0.75,113.4,0.59,0.33,0.04,0.06,0.24,0.12,4/33,4,33,19,126,137,70,9,13
Americas,Champions Tour 2024: Americas Stage 2,icy,G2,G2 Esports,388,0.93,194.2,0.97,0.71,131.2,0.7,0.2,0.12,0.15,0.23,0.1,3/30,3,30,23,272,280,79,47,58
Americas,Champions Tour 2024: Americas Stage 2,OXY,C9,Cloud9,277,0.93,232.7,0.99,0.69,152.1,0.82,0.16,0.18,0.19,0.27,0.17,2/12,2,12,33,226,228,45,50,53
